DISPLAY parts, cost, where to get from/link
3d printer parts,(cost calculate later), ,
Tactile push buttons 6*6*9, 11.27 USD, https://ar.aliexpress.com/item/1005005844452623.html?spm=a2g0o.order_list.order_list_main.10.15e2180255B5UM&gatewayAdapt=glo2ara ,
Keyboard switches, , ,
ST7735 SPI, 4.29 USD, https://ar.aliexpress.com/item/1005010340668858.html?spm=a2g0o.order_list.order_list_main.40.15e2180255B5UM&gatewayAdapt=glo2ara ,
C3 MINI LOLIN USD, 14.36, https://ar.aliexpress.com/item/1005004740051202.html?spm=a2g0o.order_list.order_list_main.4.15e2180255B5UM&gatewayAdapt=glo2ara ,
BATTERY 3.7V LiPo rechargeable,2 for 3.9 USD each, (local),
TP4056 with protection(MIcro usb-c), USD 2.32, https://ar.aliexpress.com/item/1005007355163444.html?spm=a2g0o.order_list.order_list_main.28.15e2180255B5UM&gatewayAdapt=glo2ara ,
MT3608 step up converter power booster supply module, USD 8.14, https://ar.aliexpress.com/item/1005012043861306.html?spm=a2g0o.order_list.order_list_main.16.15e2180255B5UM&gatewayAdapt=glo2ara ,
6 M3 screws for the screen, , Local bought ,
multimeter to adjust boost converter, 13 USD, (local)

